┌────────────┬───────────────┬──────────────────────────┐
│    date    │ precipitation │ moving_avg_precipitation │
│    date    │    double     │          double          │
├────────────┼───────────────┼──────────────────────────┤
│ 2013-07-01 │      0.838583 │       0.2069741714285714 │
│ 2013-07-02 │     0.0787402 │       0.2069741714285714 │
│ 2013-07-03 │      0.531496 │       0.2069741714285714 │
│ 2013-07-04 │           0.0 │       0.2069741714285714 │
│ 2013-07-05 │           0.0 │                0.1186726 │
│ 2013-07-06 │           0.0 │      0.14004485714285714 │
│ 2013-07-07 │           0.0 │      0.06411685714285714 │
│ 2013-07-08 │      0.220472 │      0.06411685714285714 │
│ 2013-07-09 │      0.228346 │      0.10011242857142857 │
│ 2013-07-10 │           0.0 │      0.10854887142857143 │
│ 2013-07-11 │           0.0 │      0.10854887142857143 │
│ 2013-07-12 │      0.251969 │      0.07705287142857142 │
│ 2013-07-13 │     0.0590551 │      0.04443201428571429 │
│ 2013-07-14 │           0.0 │      0.04443201428571429 │
│ 2013-07-15 │           0.0 │      0.04443201428571429 │
│ 2013-07-16 │           0.0 │     0.008436442857142857 │
│ 2013-07-17 │           0.0 │                      0.0 │
│ 2013-07-18 │           0.0 │                      0.0 │
│ 2013-07-19 │           0.0 │     0.008436442857142857 │
│ 2013-07-20 │           0.0 │      0.05286844285714286 │
│     ·      │            ·  │               ·          │
│     ·      │            ·  │               ·          │
│     ·      │            ·  │               ·          │
│ 2015-11-11 │      0.429134 │      0.10011257142857143 │
│ 2015-11-12 │      0.011811 │      0.10011257142857143 │
│ 2015-11-13 │           0.0 │      0.10011257142857143 │
│ 2015-11-14 │           0.0 │      0.06299214285714286 │
│ 2015-11-15 │           0.0 │    0.0016872857142857143 │
│ 2015-11-16 │           0.0 │      0.17885285714285715 │
│ 2015-11-17 │           0.0 │      0.17885285714285715 │
│ 2015-11-18 │           0.0 │      0.17885285714285715 │
│ 2015-11-19 │       1.25197 │                0.1833523 │
│ 2015-11-20 │           0.0 │                0.1833523 │
│ 2015-11-21 │           0.0 │                0.1833523 │
│ 2015-11-22 │     0.0314961 │                0.1833523 │
│ 2015-11-23 │           0.0 │     0.004499442857142857 │
│ 2015-11-24 │           0.0 │     0.004499442857142857 │
│ 2015-11-25 │           0.0 │    0.0073115857142857146 │
│ 2015-11-26 │           0.0 │    0.0028121428571428572 │
│ 2015-11-27 │           0.0 │    0.0028121428571428572 │
│ 2015-11-28 │      0.019685 │    0.0028121428571428572 │
│ 2015-11-29 │           0.0 │    0.0028121428571428572 │
│ 2015-11-30 │           0.0 │    0.0028121428571428572 │
├────────────┴───────────────┴──────────────────────────┤
│ 883 rows (40 shown)                         3 columns │
└───────────────────────────────────────────────────────┘
